nohup: ignoring input
Warning : `load_model` does not return WordVectorModel or SupervisedModel any more, but a `FastText` object which is very similar.
2023-03-03 18:45:41,624 log.log INFO query input:爱
2023-03-03 18:45:41,625 log.log INFO query rewrite output:爱
2023-03-03 18:45:41,905 log.log INFO predict class:Chat
2023-03-03 18:45:41,905 log.log INFO score:0.3766760319541706
2023-03-03 18:45:41,905 log.log INFO dm response :爱是什么? 

2023-03-03 18:48:20,802 log.log INFO query input:
2023-03-03 18:48:20,817 log.log INFO predict class:
2023-03-03 18:48:20,817 log.log INFO score:1.0
2023-03-03 18:48:20,817 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 18:52:05,434 log.log INFO query input:hi穆莎
2023-03-03 18:52:05,435 log.log INFO query rewrite output:hi穆莎
2023-03-03 18:52:05,972 log.log INFO predict class:Chat
2023-03-03 18:52:05,972 log.log INFO score:0.578456064750614
2023-03-03 18:52:05,972 log.log INFO dm response :你好穆莎,我是穆莎的朋友 

2023-03-03 18:52:31,729 log.log INFO query input:你好穆莎
2023-03-03 18:52:31,730 log.log INFO query rewrite output:你好穆莎
2023-03-03 18:52:32,650 log.log INFO predict class:Chat
2023-03-03 18:52:32,650 log.log INFO score:0.6960786667550019
2023-03-03 18:52:32,651 log.log INFO dm response :我是穆莎,是摩尔线程自主研发的数字人。很高兴认识大家。 

2023-03-03 21:24:54,213 log.log INFO query input:
2023-03-03 21:24:54,234 log.log INFO predict class:
2023-03-03 21:24:54,234 log.log INFO score:1.0
2023-03-03 21:24:54,234 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 21:25:07,063 log.log INFO query input:
2023-03-03 21:25:07,082 log.log INFO predict class:
2023-03-03 21:25:07,082 log.log INFO score:1.0
2023-03-03 21:25:07,082 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-03 21:25:18,160 log.log INFO query input:
2023-03-03 21:25:18,169 log.log INFO predict class:
2023-03-03 21:25:18,169 log.log INFO score:1.0
2023-03-03 21:25:18,169 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-05 12:13:36,891 log.log INFO query input:你好穆莎
2023-03-05 12:13:36,892 log.log INFO query rewrite output:你好穆莎
2023-03-05 12:13:46,867 log.log INFO query input:哪个的服务连接一场
2023-03-05 12:13:46,868 log.log INFO query rewrite output:哪个的服务连接一场
2023-03-05 12:15:21,989 log.log INFO query input:你好穆莎
2023-03-05 12:15:21,989 log.log INFO query rewrite output:你好穆莎
2023-03-06 11:56:26,133 log.log INFO query input:2020欧洲冠军是谁
2023-03-06 11:56:26,134 log.log INFO query rewrite output:2020欧洲冠军是谁
2023-03-06 11:56:26,595 log.log INFO predict class:DocQa
2023-03-06 11:56:26,595 log.log INFO score:0.7858812
2023-03-06 11:56:26,595 log.log INFO dm response :拜仁慕尼黑 

2023-03-06 11:56:44,194 log.log INFO query input:202年欧洲冠军是谁
是202年欧洲冠军是谁 0.7564266324043274
2023-03-06 11:56:44,967 log.log INFO query rewrite output:202年欧洲冠军是谁
2023-03-06 11:56:45,240 log.log INFO predict class:DocQa
2023-03-06 11:56:45,240 log.log INFO score:0.75500935
2023-03-06 11:56:45,240 log.log INFO dm response :阿拉巴 

2023-03-06 11:56:55,807 log.log INFO query input:2021年欧洲冠军是谁
拜仁慕尼黑军是2021年欧洲冠军是谁 0.5695165395736694
2023-03-06 11:56:56,725 log.log INFO query rewrite output:2021年欧洲冠军是谁
2023-03-06 11:56:57,098 log.log INFO predict class:DocQa
2023-03-06 11:56:57,098 log.log INFO score:0.77654076
2023-03-06 11:56:57,098 log.log INFO dm response :意大利 

2023-03-06 11:57:02,339 log.log INFO query input:2021你啊你
202年欧洲冠军是2021你啊你 0.6971923112869263
2023-03-06 11:57:03,260 log.log INFO query rewrite output:2021你啊你
2023-03-06 11:57:04,204 log.log INFO predict class:Chat
2023-03-06 11:57:04,205 log.log INFO score:0.42695700764320244
2023-03-06 11:57:04,205 log.log INFO dm response :我怎么了 

2023-03-06 11:57:11,134 log.log INFO query input:2021年欧冠冠军是谁
2021年欧冠冠军是谁 0.86890709400177
2023-03-06 11:57:11,868 log.log INFO query rewrite output:2021年欧冠冠军是谁
2023-03-06 11:57:12,104 log.log INFO predict class:DocQa
2023-03-06 11:57:12,104 log.log INFO score:0.77916825
2023-03-06 11:57:12,104 log.log INFO dm response :皇家马德里 

2023-03-06 14:19:04,944 log.log INFO query input:为什么谈恋爱会让人这么痛苦
2023-03-06 14:19:04,944 log.log INFO query rewrite output:为什么谈恋爱会让人这么痛苦
2023-03-06 14:19:05,799 log.log INFO predict class:Chat
2023-03-06 14:19:05,799 log.log INFO score:0.6096917175330147
2023-03-06 14:19:05,799 log.log INFO dm response :因为你还没遇到对的人 

2023-03-06 14:36:56,659 log.log INFO query input:
2023-03-06 14:36:56,677 log.log INFO predict class:
2023-03-06 14:36:56,677 log.log INFO score:1.0
2023-03-06 14:36:56,677 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 14:39:07,785 log.log INFO query input:
2023-03-06 14:39:07,803 log.log INFO predict class:
2023-03-06 14:39:07,803 log.log INFO score:1.0
2023-03-06 14:39:07,803 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 14:39:34,829 log.log INFO query input:
2023-03-06 14:39:34,839 log.log INFO predict class:
2023-03-06 14:39:34,840 log.log INFO score:1.0
2023-03-06 14:39:34,840 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 14:42:43,333 log.log INFO query input:
2023-03-06 14:42:43,355 log.log INFO predict class:
2023-03-06 14:42:43,355 log.log INFO score:1.0
2023-03-06 14:42:43,355 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 14:42:50,811 log.log INFO query input:
2023-03-06 14:42:50,830 log.log INFO predict class:
2023-03-06 14:42:50,830 log.log INFO score:1.0
2023-03-06 14:42:50,830 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 14:43:00,258 log.log INFO query input:
2023-03-06 14:43:00,272 log.log INFO predict class:
2023-03-06 14:43:00,272 log.log INFO score:1.0
2023-03-06 14:43:00,273 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 14:43:09,911 log.log INFO query input:
2023-03-06 14:43:09,929 log.log INFO predict class:
2023-03-06 14:43:09,930 log.log INFO score:1.0
2023-03-06 14:43:09,930 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 14:43:47,893 log.log INFO query input:你好穆莎
你好穆莎 0.9694420099258423
2023-03-06 14:43:48,432 log.log INFO query rewrite output:你好穆莎
2023-03-06 14:43:49,766 log.log INFO predict class:Chat
2023-03-06 14:43:49,766 log.log INFO score:0.5311997664358248
2023-03-06 14:43:49,766 log.log INFO dm response :你好啊,我是穆莎,是摩尔线程自主研发的数字人。 

2023-03-06 14:43:58,097 log.log INFO query input:
2023-03-06 14:43:58,116 log.log INFO predict class:
2023-03-06 14:43:58,117 log.log INFO score:1.0
2023-03-06 14:43:58,117 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 14:44:05,457 log.log INFO query input:你好穆莎
你好穆莎 0.9965154528617859
2023-03-06 14:44:06,007 log.log INFO query rewrite output:你好穆莎
2023-03-06 14:44:07,375 log.log INFO predict class:Chat
2023-03-06 14:44:07,375 log.log INFO score:0.5704335508205804
2023-03-06 14:44:07,375 log.log INFO dm response :你好我叫穆莎,是摩尔线程自主研发的数字人。很高兴认识大家。 

2023-03-06 14:44:26,454 log.log INFO query input:
2023-03-06 14:44:26,472 log.log INFO predict class:
2023-03-06 14:44:26,472 log.log INFO score:1.0
2023-03-06 14:44:26,473 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 14:45:55,952 log.log INFO query input:
2023-03-06 14:45:55,970 log.log INFO predict class:
2023-03-06 14:45:55,971 log.log INFO score:1.0
2023-03-06 14:45:55,971 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 14:46:05,564 log.log INFO query input:
2023-03-06 14:46:05,582 log.log INFO predict class:
2023-03-06 14:46:05,582 log.log INFO score:1.0
2023-03-06 14:46:05,582 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 14:46:35,841 log.log INFO query input:
2023-03-06 14:46:35,856 log.log INFO predict class:
2023-03-06 14:46:35,856 log.log INFO score:1.0
2023-03-06 14:46:35,856 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 14:46:42,310 log.log INFO query input:
2023-03-06 14:46:42,326 log.log INFO predict class:
2023-03-06 14:46:42,327 log.log INFO score:1.0
2023-03-06 14:46:42,327 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:05:22,969 log.log INFO query input:hi穆
2023-03-06 15:05:22,970 log.log INFO query rewrite output:hi穆
2023-03-06 15:05:23,385 log.log INFO predict class:Chat
2023-03-06 15:05:23,385 log.log INFO score:0.570305599354169
2023-03-06 15:05:23,385 log.log INFO dm response :你是穆莎? 

2023-03-06 15:05:33,713 log.log INFO query input:
2023-03-06 15:05:33,731 log.log INFO predict class:
2023-03-06 15:05:33,731 log.log INFO score:1.0
2023-03-06 15:05:33,731 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:05:52,666 log.log INFO query input:
2023-03-06 15:05:52,685 log.log INFO predict class:
2023-03-06 15:05:52,685 log.log INFO score:1.0
2023-03-06 15:05:52,685 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:16:48,134 log.log INFO query input:
2023-03-06 15:16:48,151 log.log INFO predict class:
2023-03-06 15:16:48,151 log.log INFO score:1.0
2023-03-06 15:16:48,151 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:17:23,526 log.log INFO query input:
2023-03-06 15:17:23,545 log.log INFO predict class:
2023-03-06 15:17:23,545 log.log INFO score:1.0
2023-03-06 15:17:23,545 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:24:46,371 log.log INFO query input:
2023-03-06 15:24:46,389 log.log INFO predict class:
2023-03-06 15:24:46,389 log.log INFO score:1.0
2023-03-06 15:24:46,389 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:25:53,522 log.log INFO query input:
2023-03-06 15:25:53,541 log.log INFO predict class:
2023-03-06 15:25:53,542 log.log INFO score:1.0
2023-03-06 15:25:53,542 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:28:09,503 log.log INFO query input:
2023-03-06 15:28:09,519 log.log INFO predict class:
2023-03-06 15:28:09,519 log.log INFO score:1.0
2023-03-06 15:28:09,519 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:33:50,896 log.log INFO query input:
2023-03-06 15:33:50,910 log.log INFO predict class:
2023-03-06 15:33:50,910 log.log INFO score:1.0
2023-03-06 15:33:50,910 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:38:38,872 log.log INFO query input:
2023-03-06 15:38:38,888 log.log INFO predict class:
2023-03-06 15:38:38,888 log.log INFO score:1.0
2023-03-06 15:38:38,888 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:38:56,821 log.log INFO query input:
2023-03-06 15:38:56,836 log.log INFO predict class:
2023-03-06 15:38:56,836 log.log INFO score:1.0
2023-03-06 15:38:56,836 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:40:40,688 log.log INFO query input:
2023-03-06 15:40:40,705 log.log INFO predict class:
2023-03-06 15:40:40,706 log.log INFO score:1.0
2023-03-06 15:40:40,706 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:42:52,776 log.log INFO query input:
2023-03-06 15:42:52,794 log.log INFO predict class:
2023-03-06 15:42:52,794 log.log INFO score:1.0
2023-03-06 15:42:52,794 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:43:27,706 log.log INFO query input:
2023-03-06 15:43:27,725 log.log INFO predict class:
2023-03-06 15:43:27,726 log.log INFO score:1.0
2023-03-06 15:43:27,726 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:44:08,109 log.log INFO query input:
2023-03-06 15:44:08,126 log.log INFO predict class:
2023-03-06 15:44:08,126 log.log INFO score:1.0
2023-03-06 15:44:08,126 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:44:43,743 log.log INFO query input:
2023-03-06 15:44:43,752 log.log INFO predict class:
2023-03-06 15:44:43,753 log.log INFO score:1.0
2023-03-06 15:44:43,753 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:44:57,445 log.log INFO query input:
2023-03-06 15:44:57,460 log.log INFO predict class:
2023-03-06 15:44:57,460 log.log INFO score:1.0
2023-03-06 15:44:57,460 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:45:03,470 log.log INFO query input:
2023-03-06 15:45:03,485 log.log INFO predict class:
2023-03-06 15:45:03,485 log.log INFO score:1.0
2023-03-06 15:45:03,485 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:45:34,562 log.log INFO query input:
2023-03-06 15:45:34,579 log.log INFO predict class:
2023-03-06 15:45:34,580 log.log INFO score:1.0
2023-03-06 15:45:34,580 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:46:19,772 log.log INFO query input:
2023-03-06 15:46:19,790 log.log INFO predict class:
2023-03-06 15:46:19,791 log.log INFO score:1.0
2023-03-06 15:46:19,791 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:46:53,240 log.log INFO query input:
2023-03-06 15:46:53,256 log.log INFO predict class:
2023-03-06 15:46:53,257 log.log INFO score:1.0
2023-03-06 15:46:53,257 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:52:46,498 log.log INFO query input:
2023-03-06 15:52:46,520 log.log INFO predict class:
2023-03-06 15:52:46,520 log.log INFO score:1.0
2023-03-06 15:52:46,520 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:53:17,807 log.log INFO query input:
2023-03-06 15:53:17,823 log.log INFO predict class:
2023-03-06 15:53:17,823 log.log INFO score:1.0
2023-03-06 15:53:17,823 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:56:02,999 log.log INFO query input:
2023-03-06 15:56:03,017 log.log INFO predict class:
2023-03-06 15:56:03,017 log.log INFO score:1.0
2023-03-06 15:56:03,017 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:56:09,358 log.log INFO query input:
2023-03-06 15:56:09,375 log.log INFO predict class:
2023-03-06 15:56:09,375 log.log INFO score:1.0
2023-03-06 15:56:09,375 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:56:19,333 log.log INFO query input:
2023-03-06 15:56:19,351 log.log INFO predict class:
2023-03-06 15:56:19,351 log.log INFO score:1.0
2023-03-06 15:56:19,351 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:56:25,027 log.log INFO query input:
2023-03-06 15:56:25,044 log.log INFO predict class:
2023-03-06 15:56:25,044 log.log INFO score:1.0
2023-03-06 15:56:25,044 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:56:30,285 log.log INFO query input:
2023-03-06 15:56:30,301 log.log INFO predict class:
2023-03-06 15:56:30,301 log.log INFO score:1.0
2023-03-06 15:56:30,302 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:56:38,407 log.log INFO query input:
2023-03-06 15:56:38,428 log.log INFO predict class:
2023-03-06 15:56:38,428 log.log INFO score:1.0
2023-03-06 15:56:38,428 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:56:43,240 log.log INFO query input:
2023-03-06 15:56:43,255 log.log INFO predict class:
2023-03-06 15:56:43,255 log.log INFO score:1.0
2023-03-06 15:56:43,255 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:56:50,770 log.log INFO query input:
2023-03-06 15:56:50,790 log.log INFO predict class:
2023-03-06 15:56:50,791 log.log INFO score:1.0
2023-03-06 15:56:50,791 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:56:58,125 log.log INFO query input:
2023-03-06 15:56:58,142 log.log INFO predict class:
2023-03-06 15:56:58,142 log.log INFO score:1.0
2023-03-06 15:56:58,142 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:57:04,087 log.log INFO query input:
2023-03-06 15:57:04,108 log.log INFO predict class:
2023-03-06 15:57:04,108 log.log INFO score:1.0
2023-03-06 15:57:04,108 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 15:57:31,563 log.log INFO query input:
2023-03-06 15:57:31,582 log.log INFO predict class:
2023-03-06 15:57:31,582 log.log INFO score:1.0
2023-03-06 15:57:31,582 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 16:03:18,911 log.log INFO query input:
2023-03-06 16:03:18,920 log.log INFO predict class:
2023-03-06 16:03:18,920 log.log INFO score:1.0
2023-03-06 16:03:18,920 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 16:03:33,084 log.log INFO query input:
2023-03-06 16:03:33,097 log.log INFO predict class:
2023-03-06 16:03:33,097 log.log INFO score:1.0
2023-03-06 16:03:33,098 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 16:03:43,459 log.log INFO query input:
2023-03-06 16:03:43,474 log.log INFO predict class:
2023-03-06 16:03:43,474 log.log INFO score:1.0
2023-03-06 16:03:43,474 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 16:03:52,463 log.log INFO query input:
2023-03-06 16:03:52,480 log.log INFO predict class:
2023-03-06 16:03:52,481 log.log INFO score:1.0
2023-03-06 16:03:52,481 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 16:06:33,625 log.log INFO query input:
2023-03-06 16:06:33,642 log.log INFO predict class:
2023-03-06 16:06:33,642 log.log INFO score:1.0
2023-03-06 16:06:33,642 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 19:48:43,568 log.log INFO query input:
2023-03-06 19:48:43,587 log.log INFO predict class:
2023-03-06 19:48:43,588 log.log INFO score:1.0
2023-03-06 19:48:43,588 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 19:48:54,559 log.log INFO query input:
2023-03-06 19:48:54,577 log.log INFO predict class:
2023-03-06 19:48:54,577 log.log INFO score:1.0
2023-03-06 19:48:54,577 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 19:49:15,603 log.log INFO query input:
2023-03-06 19:49:15,616 log.log INFO predict class:
2023-03-06 19:49:15,616 log.log INFO score:1.0
2023-03-06 19:49:15,616 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 19:49:22,154 log.log INFO query input:
2023-03-06 19:49:22,171 log.log INFO predict class:
2023-03-06 19:49:22,171 log.log INFO score:1.0
2023-03-06 19:49:22,171 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-06 20:13:49,348 log.log INFO query input:
2023-03-06 20:13:49,364 log.log INFO predict class:
2023-03-06 20:13:49,364 log.log INFO score:1.0
2023-03-06 20:13:49,364 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-07 10:37:42,622 log.log INFO query input:
2023-03-07 10:37:42,643 log.log INFO predict class:
2023-03-07 10:37:42,643 log.log INFO score:1.0
2023-03-07 10:37:42,643 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-07 10:37:48,794 log.log INFO query input:
2023-03-07 10:37:48,812 log.log INFO predict class:
2023-03-07 10:37:48,812 log.log INFO score:1.0
2023-03-07 10:37:48,812 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-07 10:37:56,687 log.log INFO query input:hi穆莎
hi穆莎 0.9358999729156494
2023-03-07 10:37:57,222 log.log INFO query rewrite output:hi穆莎
2023-03-07 10:37:58,106 log.log INFO predict class:Chat
2023-03-07 10:37:58,106 log.log INFO score:0.6995424068851182
2023-03-07 10:37:58,106 log.log INFO dm response :嗨,你来了好一会儿了呢! 

2023-03-07 10:38:11,999 log.log INFO query input:
2023-03-07 10:38:12,015 log.log INFO predict class:
2023-03-07 10:38:12,015 log.log INFO score:1.0
2023-03-07 10:38:12,015 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-07 10:38:26,019 log.log INFO query input:
2023-03-07 10:38:26,037 log.log INFO predict class:
2023-03-07 10:38:26,037 log.log INFO score:1.0
2023-03-07 10:38:26,037 log.log INFO dm response :不好意思，我没听清你在说啥 

2023-03-07 10:38:44,954 log.log INFO query input:hi穆莎的
hi穆莎的 0.6259604096412659
2023-03-07 10:38:45,488 log.log INFO query rewrite output:hi穆莎的
2023-03-07 10:38:46,073 log.log INFO predict class:Chat
2023-03-07 10:38:46,073 log.log INFO score:0.6052758968698836
2023-03-07 10:38:46,074 log.log INFO dm response :好的 

2023-03-07 15:07:05,272 log.log INFO query input:hi穆莎给大家自我介绍一下吧
